x ,Kalmar_COM_Crane21_SPARE_INT6 ,Kalmar_COM_Crane21_SPARE_INT5 ,Kalmar_COM_Crane21_SPARE_INT4 ,Kalmar_COM_Crane21_SPARE_INT3 ,Kalmar_COM_Crane21_SPARE_INT2 ,Kalmar_COM_Crane21_SPARE_INT1 ,
Type ,INT ,INT ,INT ,INT ,INT ,INT ,
ScalingFactor ,1 ,1 ,1 ,1 ,1 ,1 ,
OffSet ,0 ,0 ,0 ,0 ,0 ,0 ,
Comment ,NA ,NA ,NA ,NA ,NA ,NA ,
2023-06-30 16:56:16.734,0,0,0,0,0,81,
2023-06-30 16:56:17.397,0,0,0,0,0,-16,
2023-06-30 16:56:17.949,0,0,0,0,0,-81,
2023-06-30 16:56:18.501,0,0,0,0,0,-95,
2023-06-30 16:56:19.164,0,0,0,0,0,-16,
2023-06-30 16:56:19.716,0,0,0,0,0,59,
2023-06-30 16:56:20.379,0,0,0,0,0,99,
2023-06-30 16:56:20.931,0,0,0,0,0,59,
2023-06-30 16:56:21.594,0,0,0,0,0,-45,
2023-06-30 16:56:22.146,0,0,0,0,0,-95,
2023-06-30 16:56:22.699,0,0,0,0,0,-81,
2023-06-30 16:56:23.362,0,0,0,0,0,16,
2023-06-30 16:56:23.914,0,0,0,0,0,81,
2023-06-30 16:56:24.577,0,0,0,0,0,89,
2023-06-30 16:56:25.129,0,0,0,0,0,31,
2023-06-30 16:56:25.792,0,0,0,0,0,-71,
2023-06-30 16:56:26.344,0,0,0,0,0,-100,
2023-06-30 16:56:26.896,0,0,0,0,0,-59,
2023-06-30 16:56:27.559,0,0,0,0,0,45,
2023-06-30 16:56:28.111,0,0,0,0,0,95,
2023-06-30 16:56:28.774,0,0,0,0,0,71,
2023-06-30 16:56:29.326,0,0,0,0,0,0,
2023-06-30 16:56:29.989,0,0,0,0,0,-89,
2023-06-30 16:56:30.541,0,0,0,0,0,-95,
2023-06-30 16:56:31.094,0,0,0,0,0,-31,
2023-06-30 16:56:31.756,0,0,0,0,0,71,
2023-06-30 16:56:32.309,0,0,0,0,0,100,
2023-06-30 16:56:32.971,0,0,0,0,0,45,
2023-06-30 16:56:33.524,0,0,0,0,0,-31,
2023-06-30 16:56:34.186,0,0,0,0,0,-99,
2023-06-30 16:56:34.739,0,0,0,0,0,-81,
2023-06-30 16:56:35.291,0,0,0,0,0,0,
2023-06-30 16:56:35.954,0,0,0,0,0,89,
2023-06-30 16:56:36.506,0,0,0,0,0,95,
2023-06-30 16:56:37.169,0,0,0,0,0,16,
2023-06-30 16:56:37.721,0,0,0,0,0,-59,
2023-06-30 16:56:38.384,0,0,0,0,0,-99,
2023-06-30 16:56:38.936,0,0,0,0,0,-59,
2023-06-30 16:56:39.599,0,0,0,0,0,45,
